evaluation_date,train_start_date,train_end_date,rolling_train_days,prediction_rows,ranking_rmse,ranking_ic,gap_rmse,gap_direction_accuracy,intraday_rmse,intraday_direction_accuracy,top10_average_predicted_return,top10_average_actual_return,top10_hit_rate,portfolio_daily_return,portfolio_cumulative_return,benchmark_return,benchmark_cumulative_return,best_stock,best_stock_return,worst_stock,worst_stock_return,feature_count,train_rows
2026-04-14,2025-08-28,2026-04-10,150,348,0.03769371898738046,-0.1137740377966848,0.023298180504345112,0.13505747126436782,0.030530209960864828,0.46839080459770116,0.01546112721771876,-0.0031620442202058897,0.0,-0.0031620442202058,0.2694672577939296,0.0154138646126026,0.0929915032877288,028050 삼성E&A,0.0454086781029263,066970 엘앤에프,-0.0456796917996698,55,52182
2026-04-15,2025-08-29,2026-04-13,150,348,0.041265542917443866,0.1185852769286276,0.023981253011602005,0.9425287356321839,0.032899802234420385,0.4281609195402299,0.016489268112678392,0.029867032291004868,0.1,0.0298670322910048,0.3073824773748344,0.0171624627324504,0.1117499292297894,047040 대우건설,0.2127659574468086,093370 후성,-0.0337283500455788,55,52182
2026-04-16,2025-09-01,2026-04-14,150,348,0.0379612941051622,-0.15653518517660434,0.01798071289168113,0.8189655172413793,0.03393728979475368,0.514367816091954,0.04391444663772206,-0.012719294777854828,0.1,-0.0127192947778548,0.2907534942577017,0.0194494990158581,0.1333729083842245,082920 비츠로셀,0.121031746031746,032500 케이엠더블유,-0.1173020527859237,55,52182
2026-04-17,2025-09-02,2026-04-15,150,348,0.033645115147582776,-0.02834595043768666,0.017753678354705607,0.5660919540229885,0.026578851437491474,0.5660919540229885,0.013044995054986231,-0.00882732528387847,0.0,-0.0088273252838784,0.2793595933025861,0.0029456192928229,0.1367113934891239,048410 현대바이오,0.0449275362318841,001440 대한전선,-0.0665083135391924,55,52182
2026-04-20,2025-09-03,2026-04-16,150,348,0.03954578379736785,-0.06396967606937347,0.025826020691177513,0.29310344827586204,0.030371555770782637,0.4827586206896552,0.00279095468905649,-0.02001967335765966,0.0,-0.0200196733576596,0.2537472321376801,-0.0004295579651759,0.1362231100559445,048410 현대바이오,0.0339805825242718,093370 후성,-0.0564399421128798,55,52182
2026-04-21,2025-09-04,2026-04-17,150,348,0.04487567446939264,0.07830863496962467,0.01350410341551729,0.8419540229885057,0.03907397478896125,0.4339080459770115,0.02445824772573691,-0.00228884550944392,0.0,-0.0022888455094438,0.2508775984154241,0.0142900369186117,0.1524597802464238,093370 후성,0.0506134969325153,048410 현대바이오,-0.079141515761234,55,52182
2026-04-22,2025-09-05,2026-04-20,150,348,0.08613058109013172,-0.19097018233199642,0.017727703134799044,0.5258620689655172,0.03857955369134085,0.45689655172413796,0.0017035379497155098,0.00037188324636511124,0.0,0.0003718832463651,0.2513427788375282,0.0097566174184894,0.1637038894124847,222080 씨아이에스,0.0380134886572653,101730 위메이드맥스,-0.0613409415121255,55,52182
2026-04-23,2025-09-08,2026-04-21,150,348,0.036180578661676774,0.05702434157833059,0.029365018768675907,0.10919540229885058,0.03238831709435829,0.7442528735632183,-0.0018230425450233099,-0.021800237616831853,0.0,-0.0218002376168318,0.2240632089187633,0.0023854649404029,0.1664798642416887,237690 에스티팜,0.0429880197322056,082920 비츠로셀,-0.0795053003533569,55,52182
2026-04-24,2025-09-09,2026-04-22,150,348,0.04330839040355491,0.24773174835698675,0.016432997602558442,0.48563218390804597,0.04110004186038088,0.6867816091954023,0.03139636378350908,0.02980513406935915,0.1,0.0298051340693591,0.2605465769699571,0.0154482778629433,0.1844999693060229,010060 OCI홀딩스,0.1925465838509317,093370 후성,-0.0452224653537564,55,52182
2026-04-27,2025-09-10,2026-04-23,150,348,0.04430913002580641,-0.06713993091714579,0.02420166632682042,0.15229885057471265,0.0737861503961853,0.6005747126436781,-0.06853916305573635,0.00021086706661028153,0.0,0.0002108670666102,0.2608123847289685,0.0073515387574923,0.1932078667386245,222080 씨아이에스,0.0388114008489994,082920 비츠로셀,-0.0559440559440559,55,52182
